sonar_component_key,repo,project,lang
javadocky,https://github.com/KengoTODA/javadocky,KengoTODA/javadocky,Java
metamug_mason,https://github.com/metamug/mason,metamug/mason,Java
PantheonTechnologies_lighty-core,https://github.com/PantheonTechnologies/lighty-core,PantheonTechnologies/lighty-core,Java
uk.gov.justice:artemis-manager,https://github.com/CJSCommonPlatform/artemis-manager,CJSCommonPlatform/artemis-manager,Java
goldy1992_Mp3Player,https://github.com/goldy1992/Mp3Player,goldy1992/Mp3Player,Java
polygenesis-projects_polygenesis-platform,https://github.com/polygenesis-projects/polygenesis-platform,polygenesis-projects/polygenesis-platform,Java
uk.gov.hmcts.reform:feature-toggle-api,https://github.com/hmcts/feature-toggle-api,hmcts/feature-toggle-api,Java
jp.skypencil.findbugs.slf4j:findbugs-slf4j,https://github.com/KengoTODA/findbugs-slf4j,KengoTODA/findbugs-slf4j,Java
greenery,https://github.com/c2v4/greenery,c2v4/greenery,Java
indigo-iam_iam,https://github.com/indigo-iam/iam,indigo-iam/iam,Java
uk.gov.hmcts.reform.finrem:finrem-document-generator-client,https://github.com/hmcts/finrem-document-generator-client,hmcts/finrem-document-generator-client,Java
com.gruelbox:dropwizard-https-redirect,https://github.com/gruelbox/dropwizard-https-redirect,gruelbox/dropwizard-https-redirect,Java
unige-pinfo-2019_PInfo1,https://github.com/unige-pinfo-2019/PInfo1,unige-pinfo-2019/PInfo1,Java
phantauth_phantauth-service,https://github.com/phantauth/phantauth-service,phantauth/phantauth-service,Java
unige-pinfo-2019_PInfo3,https://github.com/unige-pinfo-2019/PInfo3,unige-pinfo-2019/PInfo3,Java
com.github.transbankdevelopers:transbank-sdk-java,https://github.com/TransbankDevelopers/transbank-sdk-java,TransbankDevelopers/transbank-sdk-java,Java
fr.inria.atlanmod.neoemf:neoemf,https://github.com/atlanmod/neoemf,atlanmod/neoemf,Java
com.github.korthout:cantis,https://github.com/korthout/cantis,korthout/cantis,Java
albertoirurueta_irurueta-navigation,https://github.com/albertoirurueta/irurueta-navigation,albertoirurueta/irurueta-navigation,Java
jsulpis_java-study,https://github.com/jsulpis/java-study,jsulpis/java-study,Java
ch.uzh.ifi.ase:cscc-recommender,https://github.com/svstoll/cscc-recommender,svstoll/cscc-recommender,Java
com.famaridon:redmine-ng-api,https://github.com/famaridon/redmine-ng-api,famaridon/redmine-ng-api,Java
edu.ucar.unidata:rosetta,https://github.com/Unidata/rosetta,Unidata/rosetta,Java
uk.gov.justice:framework-tools,https://github.com/CJSCommonPlatform/framework-tools,CJSCommonPlatform/framework-tools,Java
com.github.jinahya:jinahya-springframework,https://github.com/jinahya/jinahya-springframework,jinahya/jinahya-springframework,Java
com.al:botgether,https://github.com/ddaninthe/botgether,ddaninthe/botgether,Java
com.examples:demo-spring-testing,https://github.com/LorenzoBettini/demo-spring-testing,LorenzoBettini/demo-spring-testing,Java
uk.gov.hmcts.reform.em.stitching:rpa-em-stitching-api,https://github.com/hmcts/rpa-em-stitching-api,hmcts/rpa-em-stitching-api,Java
camel-lsp-client-eclipse,https://github.com/camel-tooling/camel-lsp-client-eclipse,camel-tooling/camel-lsp-client-eclipse,Java
org.dotwebstack.framework:dotwebstack-framework,https://github.com/dotwebstack/dotwebstack-framework,dotwebstack/dotwebstack-framework,Java
com.gala.sam:GalaBank,https://github.com/galasam/GalaBank,galasam/GalaBank,Java
com.github.jinahya:bit-io,https://github.com/jinahya/bit-io,jinahya/bit-io,Java
uk.gov.justice.framework-domain:framework-domain,https://github.com/CJSCommonPlatform/framework-domain,CJSCommonPlatform/framework-domain,Java
ccd-definition-designer-api,https://github.com/hmcts/ccd-definition-designer-api,hmcts/ccd-definition-designer-api,Java
optidb.server:optidb-server,https://github.com/DaJaime/optidb-server,DaJaime/optidb-server,Java
br.com.aceleradevsp.squad2:mapfood,https://github.com/GOBDS/mapfood,GOBDS/mapfood,Java
ioet_bpm-people-api,https://github.com/ioet/bpm-people-api,ioet/bpm-people-api,Java
br.com.ars:autenticacao,https://github.com/adilsonsilva/autenticacao,adilsonsilva/autenticacao,Java
org.itsallcode:openfasttrace,https://github.com/itsallcode/openfasttrace,itsallcode/openfasttrace,Java
try0_wicket-toastr,https://github.com/try0/wicket-toastr,try0/wicket-toastr,Java
rocks.coffeenet:coffeenet-starter,https://github.com/coffeenet/coffeenet-starter,coffeenet/coffeenet-starter,Java
io.symonk.sylenium:sylenium,https://github.com/symonk/sylenium,symonk/sylenium,Java
com.noticemedan:cinema,https://github.com/NoticeMeDan/cinema,NoticeMeDan/cinema,Java
