metric,value,key,project
FANOUT_CALLS,0.36,AW9YmaznpSZ5360cUviL,asn4j
AHH,0.1,AW4eUKRcSCH2U5Z0xESb,asn4j
NOC_NOP,9.12,AW4eUKRcSCH2U5Z0xESb,asn4j
NOM_NOC,2.91,AW4eUKRcSCH2U5Z0xESb,asn4j
LOC_NOM,6.07,AW4eUKRcSCH2U5Z0xESb,asn4j
CALLS_NOM,1.89,AW4eUKRcSCH2U5Z0xESb,asn4j
CYCLO_LOC,0.21,AW4eUKRcSCH2U5Z0xESb,asn4j
FANOUT_CALLS,0.36,AW4eUKRcSCH2U5Z0xESb,asn4j
AHH,0.1,AW5K-ORVANzJMR7LC5JD,asn4j
NOC_NOP,13.02,AW5K-ORVANzJMR7LC5JD,asn4j
NOM_NOC,2.91,AW5K-ORVANzJMR7LC5JD,asn4j
LOC_NOM,5.74,AW5K-ORVANzJMR7LC5JD,asn4j
CALLS_NOM,1.73,AW5K-ORVANzJMR7LC5JD,asn4j
CYCLO_LOC,0.22,AW5K-ORVANzJMR7LC5JD,asn4j
FANOUT_CALLS,0.35,AW5K-ORVANzJMR7LC5JD,asn4j
AHH,0.1,AWvNhWBesqgB1tQdXbUS,asn4j
NOC_NOP,9.35,AWvNhWBesqgB1tQdXbUS,asn4j
NOM_NOC,2.92,AWvNhWBesqgB1tQdXbUS,asn4j
LOC_NOM,6.25,AWvNhWBesqgB1tQdXbUS,asn4j
CALLS_NOM,1.96,AWvNhWBesqgB1tQdXbUS,asn4j
CYCLO_LOC,0.2,AWvNhWBesqgB1tQdXbUS,asn4j
FANOUT_CALLS,0.38,AWvNhWBesqgB1tQdXbUS,asn4j
AHH,0.1,AWy_-IMV94997DFdTyrh,asn4j
NOC_NOP,9.35,AWy_-IMV94997DFdTyrh,asn4j
NOM_NOC,2.91,AWy_-IMV94997DFdTyrh,asn4j
LOC_NOM,6.26,AWy_-IMV94997DFdTyrh,asn4j
CALLS_NOM,1.95,AWy_-IMV94997DFdTyrh,asn4j
CYCLO_LOC,0.2,AWy_-IMV94997DFdTyrh,asn4j
FANOUT_CALLS,0.37,AWy_-IMV94997DFdTyrh,asn4j
AHH,0.11,AW9msr4vrLwbcSpPywv1,asn4j
NOC_NOP,13.22,AW9msr4vrLwbcSpPywv1,asn4j
NOM_NOC,2.92,AW9msr4vrLwbcSpPywv1,asn4j
LOC_NOM,5.72,AW9msr4vrLwbcSpPywv1,asn4j
CALLS_NOM,1.65,AW9msr4vrLwbcSpPywv1,asn4j
CYCLO_LOC,0.22,AW9msr4vrLwbcSpPywv1,asn4j
FANOUT_CALLS,0.36,AW9msr4vrLwbcSpPywv1,asn4j
AHH,0.1,AW0h9B39QXD16eXDgNqc,asn4j
NOC_NOP,9.22,AW0h9B39QXD16eXDgNqc,asn4j
NOM_NOC,2.92,AW0h9B39QXD16eXDgNqc,asn4j
LOC_NOM,6.24,AW0h9B39QXD16eXDgNqc,asn4j
CALLS_NOM,1.95,AW0h9B39QXD16eXDgNqc,asn4j
CYCLO_LOC,0.2,AW0h9B39QXD16eXDgNqc,asn4j
FANOUT_CALLS,0.37,AW0h9B39QXD16eXDgNqc,asn4j
AHH,0.11,AWpzRtC5YsUHy63nsC9W,asn4j
NOC_NOP,9.34,AWpzRtC5YsUHy63nsC9W,asn4j
NOM_NOC,3.1,AWpzRtC5YsUHy63nsC9W,asn4j
LOC_NOM,6.75,AWpzRtC5YsUHy63nsC9W,asn4j
CALLS_NOM,1.7,AWpzRtC5YsUHy63nsC9W,asn4j
CYCLO_LOC,0.21,AWpzRtC5YsUHy63nsC9W,asn4j
FANOUT_CALLS,0.41,AWpzRtC5YsUHy63nsC9W,asn4j
