metric,value,key,project
NOC/NOP,5.14,AWwuQBRciV0xWg5RKnd-,alf.io
NOP,41,AWwuQBRciV0xWg5RKnd-,alf.io
NOM/NOC,3.34,AWwuQBRciV0xWg5RKnd-,alf.io
NOC,211,AWwuQBRciV0xWg5RKnd-,alf.io
LOC/NOM,3.82,AWwuQBRciV0xWg5RKnd-,alf.io
NOM,706,AWwuQBRciV0xWg5RKnd-,alf.io
CALLS/NOM,2.06,AWwuQBRciV0xWg5RKnd-,alf.io
CYCLO/LOC,0.21,AWwuQBRciV0xWg5RKnd-,alf.io
LOC,2697,AWwuQBRciV0xWg5RKnd-,alf.io
CALLS,1457,AWwuQBRciV0xWg5RKnd-,alf.io
FANOUT/CALLS,0.17,AWwuQBRciV0xWg5RKnd-,alf.io
CYCLO,586,AWwuQBRciV0xWg5RKnd-,alf.io
FANOUT,249,AWwuQBRciV0xWg5RKnd-,alf.io
AHH,0,AW8vFI10s3ZA5X17epy7,alf.io
NOC/NOP,5.04,AW8vFI10s3ZA5X17epy7,alf.io
NOP,43,AW8vFI10s3ZA5X17epy7,alf.io
NOM/NOC,3.33,AW8vFI10s3ZA5X17epy7,alf.io
NOC,217,AW8vFI10s3ZA5X17epy7,alf.io
LOC/NOM,4.08,AW8vFI10s3ZA5X17epy7,alf.io
NOM,723,AW8vFI10s3ZA5X17epy7,alf.io
CALLS/NOM,1.88,AW8vFI10s3ZA5X17epy7,alf.io
CYCLO/LOC,0.21,AW8vFI10s3ZA5X17epy7,alf.io
LOC,2955,AW8vFI10s3ZA5X17epy7,alf.io
CALLS,1364,AW8vFI10s3ZA5X17epy7,alf.io
FANOUT/CALLS,0.19,AW8vFI10s3ZA5X17epy7,alf.io
CYCLO,643,AW8vFI10s3ZA5X17epy7,alf.io
FANOUT,261,AW8vFI10s3ZA5X17epy7,alf.io
AHH,0,AW8UllRHVI--xHvm9vuB,alf.io
NOC/NOP,5.04,AW8UllRHVI--xHvm9vuB,alf.io
NOP,43,AW8UllRHVI--xHvm9vuB,alf.io
NOM/NOC,3.33,AW8UllRHVI--xHvm9vuB,alf.io
NOC,217,AW8UllRHVI--xHvm9vuB,alf.io
LOC/NOM,4.08,AW8UllRHVI--xHvm9vuB,alf.io
NOM,723,AW8UllRHVI--xHvm9vuB,alf.io
CALLS/NOM,1.88,AW8UllRHVI--xHvm9vuB,alf.io
CYCLO/LOC,0.21,AW8UllRHVI--xHvm9vuB,alf.io
LOC,2955,AW8UllRHVI--xHvm9vuB,alf.io
CALLS,1364,AW8UllRHVI--xHvm9vuB,alf.io
FANOUT/CALLS,0.19,AW8UllRHVI--xHvm9vuB,alf.io
CYCLO,643,AW8UllRHVI--xHvm9vuB,alf.io
FANOUT,261,AW8UllRHVI--xHvm9vuB,alf.io
AHH,0,AWwU_WRwVNyNuuCjcBFW,alf.io
NOC/NOP,5.14,AWwU_WRwVNyNuuCjcBFW,alf.io
NOP,41,AWwU_WRwVNyNuuCjcBFW,alf.io
NOM/NOC,3.34,AWwU_WRwVNyNuuCjcBFW,alf.io
NOC,211,AWwU_WRwVNyNuuCjcBFW,alf.io
LOC/NOM,3.81,AWwU_WRwVNyNuuCjcBFW,alf.io
NOM,706,AWwU_WRwVNyNuuCjcBFW,alf.io
CALLS/NOM,2.06,AWwU_WRwVNyNuuCjcBFW,alf.io
CYCLO/LOC,0.21,AWwU_WRwVNyNuuCjcBFW,alf.io
LOC,2690,AWwU_WRwVNyNuuCjcBFW,alf.io
CALLS,1457,AWwU_WRwVNyNuuCjcBFW,alf.io
FANOUT/CALLS,0.17,AWwU_WRwVNyNuuCjcBFW,alf.io
CYCLO,585,AWwU_WRwVNyNuuCjcBFW,alf.io
FANOUT,249,AWwU_WRwVNyNuuCjcBFW,alf.io
AHH,0.1,AWWvitc5lgbYnohYRGRs,artemis-manager
NOC/NOP,3.87,AWWvitc5lgbYnohYRGRs,artemis-manager
NOP,8,AWWvitc5lgbYnohYRGRs,artemis-manager
NOM/NOC,3.19,AWWvitc5lgbYnohYRGRs,artemis-manager
NOC,31,AWWvitc5lgbYnohYRGRs,artemis-manager
LOC/NOM,8.3,AWWvitc5lgbYnohYRGRs,artemis-manager
NOM,99,AWWvitc5lgbYnohYRGRs,artemis-manager
CALLS/NOM,6,AWWvitc5lgbYnohYRGRs,artemis-manager
CYCLO/LOC,0.11,AWWvitc5lgbYnohYRGRs,artemis-manager
LOC,822,AWWvitc5lgbYnohYRGRs,artemis-manager
CALLS,594,AWWvitc5lgbYnohYRGRs,artemis-manager
